Population,Extracellular,Intracellular,Promiscuity_in_vitro
1,133,137,1.11361105
2,122.92308,107.2308,0.14664826
3,101.44444,103.3333,-0.09951031
4,103,114.4615,-0.27342108
5,97.14286,107.8571,-0.19249204
6,104,107.5,-0.37781444
7,110.66667,113,-0.2232419
8,136,122,0.79177022
9,126.25,116,0.50556881
10,120,101,0.38046032
11,128.25,114.75,0.57825585
12,120,101,0.38841313
13,125.33333,108,0.39343882
14,125,137,-0.16721079
15,108,121,-0.17982185
16,124,107,0.57888631
17,132.5,124,0.75912156
18,136,122,0.45343195
20,92,97,0.02879946
22,136,122,1.05855112
24,136,122,0.68699843
25,100,105,0.67029173
26,115,117,-0.09394801
32,111,110,0.08792012
33,120,101,1.20508553
35,120,101,0.3948586
36,120,101,0.39967129
37,120,101,0.3220915
