"","female.id","red.male","green.male"
"2015","2015",432.915333333333,253.381
"2017","2017",366.232,142.325
"2018","2018",127.536,510.568
"2019","2019",752.700666666667,74.155
"2020","2020",257.084,358.026
"2021","2021",474.024333333333,61.601
"2022","2022",270.182333333333,380.731666666667
"2023","2023",999.782333333333,79.3973333333333
"2024","2024",269.056,720.62
"2025","2025",790.291333333333,155.647333333333
"2026","2026",550.221666666667,225.922666666667
"2027","2027",755.807666666667,254.42
"2028","2028",830.728333333333,63.7
"2029","2029",401.981666666667,442.548
"2030","2030",742.613,258.131666666667
"2031","2031",389.343666666667,539.016
"2032","2032",812.735333333333,230.232
"2033","2033",46.53,848.131666666667
"2034","2034",215.932,609.598666666667
"2035","2035",508.794,396.189
"2036","2036",260.113333333333,653.605333333333
"2037","2037",459.531,692.470666666667
"2038","2038",301.532,756.227
"2039","2039",723.144,217.077
"2040","2040",285.8595,779.966633333333
"2041","2041",638.312,278.318333333333
"2042","2042",347.222,520.755
"2043","2043",1040.722,116.838
"2044","2044",307.025,381.669
"2045","2045",13.858,768.543
"2046","2046",338.229,266.77
"2047","2047",204.582,459.114
"2048","2048",950.603666666667,33.501
"2049","2049",481.06,191.348
"2050","2050",652.423666666667,320.393333333333
"2051","2051",406.905666666667,249.278
"2052","2052",454.021333333333,388.925
"2053","2053",530.484666666667,478.141666666667
"2054","2054",353.766333333333,587.106666666667
"2055","2055",331.787333333333,547.495666666667
"2056","2056",461.833,268.679
"2057","2057",453.876,347.594333333333
"2058","2058",339.734,505.645
"2059","2059",762.068666666667,228.026666666667
"2093","2093",482.944,197.157
"2094","2094",447.051,235.914
"2095","2095",579.969666666667,300.766
"2096","2096",486.874,396.895
"2097","2097",499.552,184.758
"2098","2098",199.446,568.341
"2099","2099",151.140666666667,486.472
"2100","2100",272.746333333333,256.970333333333
"2101","2101",852.683746666667,177.07792
"2102","2102",116.284666666667,913.512666666667
"2103","2103",827.48,211.618
"2104","2104",420.713,265.286
"2105","2105",101.575,540.515
"2106","2106",523.865333333333,371.589
"2107","2107",405.612,315.23
"2108","2108",633.541666666667,177.514333333333
"2109","2109",730.875333333333,237.504333333333
"2110","2110",641.501666666667,343.787333333333
"2111","2111",706.553333333333,157.361333333333
"2112","2112",302.334,402.218333333333
"2113","2113",326.589,570.417
"2114","2114",455.963,458.371
"2116","2116",370.69,237.563
"2117","2117",351.626,230.169
"2118","2118",620.539666666667,150.181333333333
"2119","2119",622.7,232.603333333333
"2120","2120",630.278333333333,394.953333333333
